Page,Brand,Product Name,Rating,Total Reviews
1,Pink Paprika by SASSAFRAS,Floral Print Fit & Flare Dress,4.6,1.4k
1,KEESOR,T-shirt Dresses,4.3,906
1,KI STUDIO,Printed Bodycon Maxi Dress,4.1,183
1,SASSAFRAS,Floral Print Fit & Flare Dress,4.4,740
1,aayu,Women Maxi Dress,4.4,1.2k
1,INCLUD,Dress,0,0
1,CURVY STREET,Polka Dots Blouson Dress,4.3,378
1,PY PINKYOU,Animal Print A-Line Dress,3.7,35
1,PTVIZE,Print Fit & Flare Dress,0,0
1,CURVY STREET,Plus Size Print A-Line Dress,4.3,377
1,glitchez,Latest Trendy Western Dresses,3.1,281
1,INCLUD,Girls Formal Dress,0,0
1,STREET 9,Solid Net Maxi Dress,4.3,568
1,Claura,Mandarin Collar A-Line Dress,4.3,6.2k
1,DressBerry,Colourblocked Tiered Dress,4.4,900
2,Sangria,Embroidered Georgette Gown,4,219
2,CRENOL THREADS,Puff Sleeves Fit & Flare Dress,4.2,260
2,DEKLOOK,Print Fit & Flare Dress,3.8,5
2,MANOJAVA,Tiered Fit & Flare Maxi Dress,4.2,979
2,STREET 9,Tiered Fit & Flare Maxi Dress,4.5,990
2,V-Mart,Fit & Flare Dress,0,0
2,Claura,Women Fit & Flare Midi Dress,4.3,10.7k
2,anayna,Printed Halter Neck Dress,4.6,1.8k
2,White World,Girls Printed Ethnic Dresses,4.2,146
2,PUELLA,Denim Shirt Dress,4.6,376
2,STREET 9,Floral Print A-Line Midi Dress,4.4,719
2,PRIYESHA TEXTILES,Print Fit & Flare Midi Dress,0,0
2,StyleCast x Revolte,Shoulder Straps Maxi Dress,4,1.3k
2,CURVY STREET,Printed Fit & Flare Midi Dress,4,141
2,KEESOR,Print A-Line Dress,4.4,188
2,StyleCast,Off-Shoulder Maxi Dress,3.9,988
2,CURVY STREET,Floral Fit & Flare Dress,4.2,248
2,STARWORD,Print Fit & Flare Dress,0,0
2,Sangria,Girls Embroidered Dress,4.3,389
2,STREET 9,Floral Print Crepe Maxi Dress,4.2,99
2,FASHION DREAM,Print Fit & Flare Maxi Dress,4.2,175
2,KidsFlower,Sleeveless Top And Palazzo Set,4.2,137
2,CURVY STREET,Plus Size Fit & Flare Dress,4.1,247
2,Claura,Floral Print Fit & Flare Midi Dress,0,0
2,StyleCast x Revolte,Strapless Sheath Dress,4,819
2,STREET 9,Cotton Fit & Flare Maxi Dress,4.5,993
2,FASHION DREAM,Printed Maxi Ethnic Dresses,4.1,1.3k
2,KI STUDIO,Printed Bodycon Maxi Dress,4.1,183
2,STREET 9,Sheath Midi Dress,4.1,189
2,Moda Rapido,Floral Print Maxi Dress,0,0
2,TANDUL,Fit & Flare Puff Sleeve Dress,4.3,2k
2,CURVY STREET,Plus Size Tiered A-Line Dress,4.1,246
2,Sangria,Printed Cotton Tired Dress,4.3,475
2,Sangria,Embroidered Empire Dress,4.1,108
2,Pink Paprika by SASSAFRAS,Floral Print Fit & Flare Dress,4.6,1.4k
2,STARWORD,Print Fit & Flare Dress,0,0
2,FASHION DREAM,Floral Print Flared Maxi Dress,4.1,31
2,SASSAFRAS,Floral Print Fit & Flare Dress,4.4,740
2,House of Pataudi,Embroidered Ethnic Dresses,4.6,7
2,KEESOR,T-shirt Dresses,4.3,906
2,CURVY STREET,Polka Dots Blouson Dress,4.3,378
2,STARWORD,Print Fit & Flare Dress,0,0
2,NWH,Ethnic Motifs Print Maxi Dress,4,552
2,CURVY STREET,Plus Size Print A-Line Dress,4.3,377
2,Claura,Mandarin Collar A-Line Dress,4.3,6.2k
2,Sangria,Girls Printed Ethnic Dress,3.9,19
2,Ishin,Floral A-Line Tiered Dress,4.1,1.3k
2,Navibhu,Floral Print A-Line Midi Dress,0,0
2,Xsole,A-Line Dress,2.6,5
2,STREET 9,Solid Net Maxi Dress,4.3,568
3,Sangria,Embroidered Georgette Gown,4,219
3,DEKLOOK,Print Fit & Flare Dress,3.8,5
3,CRENOL THREADS,Puff Sleeves Fit & Flare Dress,4.2,260
3,MANOJAVA,Tiered Fit & Flare Maxi Dress,4.2,979
3,V-Mart,Fit & Flare Dress,0,0
3,STREET 9,Tiered Fit & Flare Maxi Dress,4.5,990
3,Claura,Women Fit & Flare Midi Dress,4.3,10.7k
3,White World,Girls Printed Ethnic Dresses,4.2,146
3,anayna,Printed Halter Neck Dress,4.6,1.8k
3,PUELLA,Denim Shirt Dress,4.6,376
3,PRIYESHA TEXTILES,Print Fit & Flare Midi Dress,0,0
3,STREET 9,Floral Print A-Line Midi Dress,4.4,719
3,StyleCast x Revolte,Shoulder Straps Maxi Dress,4,1.3k
3,KEESOR,Print A-Line Dress,4.4,188
3,CURVY STREET,Printed Fit & Flare Midi Dress,4,141
3,StyleCast,Off-Shoulder Maxi Dress,3.9,988
3,STARWORD,Print Fit & Flare Dress,0,0
3,CURVY STREET,Floral Fit & Flare Dress,4.2,248
3,Sangria,Girls Embroidered Dress,4.3,389
3,FASHION DREAM,Print Fit & Flare Maxi Dress,4.2,175
3,STREET 9,Floral Print Crepe Maxi Dress,4.2,99
3,KidsFlower,Sleeveless Top And Palazzo Set,4.2,137
3,Claura,Floral Print Fit & Flare Midi Dress,0,0
3,CURVY STREET,Plus Size Fit & Flare Dress,4.1,247
3,StyleCast x Revolte,Strapless Sheath Dress,4,819
3,FASHION DREAM,Printed Maxi Ethnic Dresses,4.1,1.3k
3,STREET 9,Cotton Fit & Flare Maxi Dress,4.5,993
3,KI STUDIO,Printed Bodycon Maxi Dress,4.1,183
3,Moda Rapido,Floral Print Maxi Dress,0,0
3,STREET 9,Sheath Midi Dress,4.1,189
3,TANDUL,Fit & Flare Puff Sleeve Dress,4.3,2k
3,Sangria,Printed Cotton Tired Dress,4.3,475
3,CURVY STREET,Plus Size Tiered A-Line Dress,4.1,246
3,Sangria,Embroidered Empire Dress,4.1,108
3,STARWORD,Print Fit & Flare Dress,0,0
3,Pink Paprika by SASSAFRAS,Floral Print Fit & Flare Dress,4.6,1.4k
3,FASHION DREAM,Floral Print Flared Maxi Dress,4.1,31
3,House of Pataudi,Embroidered Ethnic Dresses,4.6,7
3,SASSAFRAS,Floral Print Fit & Flare Dress,4.4,740
3,KEESOR,T-shirt Dresses,4.3,906
3,STARWORD,Print Fit & Flare Dress,0,0
3,CURVY STREET,Polka Dots Blouson Dress,4.3,378
3,NWH,Ethnic Motifs Print Maxi Dress,4,552
3,Claura,Mandarin Collar A-Line Dress,4.3,6.2k
3,CURVY STREET,Plus Size Print A-Line Dress,4.3,377
3,Sangria,Girls Printed Ethnic Dress,3.9,19
3,Navibhu,Floral Print A-Line Midi Dress,0,0
3,Ishin,Floral A-Line Tiered Dress,4.1,1.3k
3,FASHION DREAM,Girls Embroider Ethnic Dresses,4.2,299
3,Xsole,A-Line Dress,2.6,5
